AuditID,LastStatus,LastUpdatedTS,GMeterId
28684827,Vacant,20/08/2016 09:16:20,32001
28691105,Occupied,20/08/2016 14:10:56,32001
28695390,Vacant,20/08/2016 16:58:35,32001
28697062,Occupied,20/08/2016 17:59:25,32001
28697113,Vacant,20/08/2016 18:01:19,32001
28697787,Occupied,20/08/2016 18:26:34,32001
28684828,Vacant,20/08/2016 09:16:22,32002
28688291,Occupied,20/08/2016 12:05:08,32002
28688324,Vacant,20/08/2016 12:06:02,32002
28688616,Occupied,20/08/2016 12:17:57,32002
28688643,Vacant,20/08/2016 12:18:37,32002
28689299,Occupied,20/08/2016 12:51:33,32002
28689347,Vacant,20/08/2016 12:52:03,32002
28689407,Occupied,20/08/2016 12:57:49,32002
28689471,Vacant,20/08/2016 13:01:10,32002
28690055,Occupied,20/08/2016 13:28:40,32002
28690155,Vacant,20/08/2016 13:29:16,32002
28690485,Occupied,20/08/2016 13:42:30,32002
28690907,Vacant,20/08/2016 13:58:29,32002
28690910,Occupied,20/08/2016 13:58:48,32002
28691101,Vacant,20/08/2016 14:10:35,32002
28691104,Occupied,20/08/2016 14:11:00,32002
28695393,Vacant,20/08/2016 16:58:36,32002
28697061,Occupied,20/08/2016 17:59:25,32002
28697111,Vacant,20/08/2016 18:01:21,32002
28697788,Occupied,20/08/2016 18:26:37,32002
28687556,Vacant,20/08/2016 11:32:58,32003
28688151,Occupied,20/08/2016 11:59:03,32003
28688446,Vacant,20/08/2016 12:09:10,32003
28689882,Occupied,20/08/2016 13:20:23,32003
28690151,Vacant,20/08/2016 13:33:05,32003
28690153,Occupied,20/08/2016 13:33:12,32003
28690269,Vacant,20/08/2016 13:37:32,32003
28690271,Occupied,20/08/2016 13:37:41,32003
28690425,Vacant,20/08/2016 13:42:05,32003
28690427,Occupied,20/08/2016 13:42:11,32003
28690480,Vacant,20/08/2016 13:43:38,32003
28691652,Occupied,20/08/2016 14:27:32,32003
28692990,Vacant,20/08/2016 15:30:40,32003
28687557,Vacant,20/08/2016 11:33:05,32004
28688150,Occupied,20/08/2016 11:59:06,32004
28688447,Vacant,20/08/2016 12:09:12,32004
28689883,Occupied,20/08/2016 13:20:25,32004
28690489,Vacant,20/08/2016 13:43:46,32004
28691542,Occupied,20/08/2016 14:27:36,32004
28693120,Vacant,20/08/2016 15:30:47,32004
28684320,Vacant,20/08/2016 08:50:55,32005
28689757,Occupied,20/08/2016 13:08:49,32005
28689734,Vacant,20/08/2016 13:13:49,32005
28690748,Occupied,20/08/2016 13:55:58,32005
28691964,Vacant,20/08/2016 14:49:40,32005
28694835,Occupied,20/08/2016 16:36:05,32005
28694843,Vacant,20/08/2016 16:36:18,32005
28697521,Occupied,20/08/2016 18:17:34,32005
28698804,Vacant,20/08/2016 19:14:07,32005
28684322,Vacant,20/08/2016 08:50:58,32006
28689753,Occupied,20/08/2016 13:08:50,32006
28689739,Vacant,20/08/2016 13:13:53,32006
28690750,Occupied,20/08/2016 13:56:00,32006
28692062,Vacant,20/08/2016 14:49:45,32006
28697740,Occupied,20/08/2016 18:17:34,32006
28698805,Vacant,20/08/2016 19:14:13,32006
28684572,Vacant,20/08/2016 09:00:30,32007
28688100,Occupied,20/08/2016 11:56:33,32007
28688290,Vacant,20/08/2016 12:05:07,32007
28688363,Occupied,20/08/2016 12:07:00,32007
28688432,Vacant,20/08/2016 12:08:57,32007
28688435,Occupied,20/08/2016 12:09:01,32007
28688492,Vacant,20/08/2016 12:11:10,32007
28689334,Occupied,20/08/2016 12:54:05,32007
28689534,Vacant,20/08/2016 13:04:22,32007
28691739,Occupied,20/08/2016 14:37:12,32007
28697210,Vacant,20/08/2016 18:05:14,32007
28684573,Vacant,20/08/2016 09:00:36,32008
28688102,Occupied,20/08/2016 11:56:37,32008
28688292,Vacant,20/08/2016 12:05:12,32008
28688366,Occupied,20/08/2016 12:07:03,32008
28688372,Vacant,20/08/2016 12:07:13,32008
28688383,Occupied,20/08/2016 12:07:22,32008
28688400,Vacant,20/08/2016 12:07:40,32008
28688491,Occupied,20/08/2016 12:11:09,32008
28688494,Vacant,20/08/2016 12:11:20,32008
28689335,Occupied,20/08/2016 12:54:04,32008
28689531,Vacant,20/08/2016 13:04:26,32008
28691740,Occupied,20/08/2016 14:37:17,32008
28697313,Vacant,20/08/2016 18:05:17,32008
28683220,Occupied,20/08/2016 06:39:16,32009
28683249,Vacant,20/08/2016 06:41:32,32009
28683592,Occupied,20/08/2016 07:37:04,32009
28683652,Vacant,20/08/2016 07:46:03,32009
28683720,Occupied,20/08/2016 07:51:03,32009
28683723,Vacant,20/08/2016 07:51:28,32009
28691881,Occupied,20/08/2016 14:43:01,32009
28692941,Vacant,20/08/2016 15:28:46,32009
28683222,Occupied,20/08/2016 06:39:24,32010
28683250,Vacant,20/08/2016 06:41:39,32010
28683593,Occupied,20/08/2016 07:37:10,32010
28683682,Vacant,20/08/2016 07:46:05,32010
28683757,Occupied,20/08/2016 07:51:05,32010
28683760,Vacant,20/08/2016 07:51:30,32010
28691831,Occupied,20/08/2016 14:43:02,32010
28692943,Vacant,20/08/2016 15:28:51,32010
28683915,Vacant,20/08/2016 08:11:00,32011
28686188,Occupied,20/08/2016 10:31:41,32011
28686191,Vacant,20/08/2016 10:31:47,32011
28686214,Occupied,20/08/2016 10:32:25,32011
28686591,Vacant,20/08/2016 10:51:25,32011
28689933,Occupied,20/08/2016 13:22:41,32011
28690154,Vacant,20/08/2016 13:28:12,32011
28691328,Occupied,20/08/2016 14:20:11,32011
28691338,Vacant,20/08/2016 14:20:36,32011
28691348,Occupied,20/08/2016 14:21:07,32011
28692050,Vacant,20/08/2016 14:53:58,32011
28692690,Occupied,20/08/2016 15:20:12,32011
28693593,Vacant,20/08/2016 15:49:03,32011
28683915,Vacant,20/08/2016 08:11:00,32012
28686188,Occupied,20/08/2016 10:31:41,32012
28686191,Vacant,20/08/2016 10:31:47,32012
28686214,Occupied,20/08/2016 10:32:25,32012
28686591,Vacant,20/08/2016 10:51:25,32012
28689933,Occupied,20/08/2016 13:22:41,32012
28690154,Vacant,20/08/2016 13:28:12,32012
28691328,Occupied,20/08/2016 14:20:11,32012
28691338,Vacant,20/08/2016 14:20:36,32012
28691348,Occupied,20/08/2016 14:21:07,32012
28692050,Vacant,20/08/2016 14:53:58,32012
28692690,Occupied,20/08/2016 15:20:12,32012
28693593,Vacant,20/08/2016 15:49:03,32012
28687684,Occupied,20/08/2016 11:38:35,32013
28687888,Vacant,20/08/2016 11:48:06,32013
28694824,Occupied,20/08/2016 16:31:31,32013
28695671,Vacant,20/08/2016 17:10:51,32013
28695674,Occupied,20/08/2016 17:10:56,32013
28695840,Vacant,20/08/2016 17:17:03,32013
28687686,Occupied,20/08/2016 11:38:36,32014
28687889,Vacant,20/08/2016 11:48:08,32014
28694717,Occupied,20/08/2016 16:31:32,32014
28695841,Vacant,20/08/2016 17:17:05,32014
28683766,Vacant,20/08/2016 07:56:56,32015
28689945,Occupied,20/08/2016 13:21:28,32015
28689946,Vacant,20/08/2016 13:21:37,32015
28689948,Occupied,20/08/2016 13:21:48,32015
28690156,Vacant,20/08/2016 13:31:10,32015
28691654,Occupied,20/08/2016 14:30:43,32015
28691664,Vacant,20/08/2016 14:30:49,32015
28691748,Occupied,20/08/2016 14:38:04,32015
28691751,Vacant,20/08/2016 14:38:14,32015
28691755,Occupied,20/08/2016 14:38:26,32015
28692802,Vacant,20/08/2016 15:24:07,32015
28683767,Vacant,20/08/2016 07:56:57,32016
28689907,Occupied,20/08/2016 13:21:28,32016
28690110,Vacant,20/08/2016 13:31:15,32016
28691594,Occupied,20/08/2016 14:30:45,32016
28691672,Vacant,20/08/2016 14:33:54,32016
28691749,Occupied,20/08/2016 14:38:10,32016
28692804,Vacant,20/08/2016 15:24:12,32016
28687848,Occupied,20/08/2016 11:46:41,32017
28688452,Vacant,20/08/2016 12:09:28,32017
28690968,Occupied,20/08/2016 14:04:18,32017
28691099,Vacant,20/08/2016 14:09:40,32017
28691716,Occupied,20/08/2016 14:36:05,32017
28691872,Vacant,20/08/2016 14:42:15,32017
28692417,Occupied,20/08/2016 15:09:44,32017
28688056,Occupied,20/08/2016 11:46:47,32018
28688457,Vacant,20/08/2016 12:09:33,32018
28690972,Occupied,20/08/2016 14:04:24,32018
28691090,Vacant,20/08/2016 14:09:48,32018
28691718,Occupied,20/08/2016 14:36:07,32018
28691874,Vacant,20/08/2016 14:42:19,32018
28692431,Occupied,20/08/2016 15:09:49,32018
28688045,Vacant,20/08/2016 11:53:47,32019
28691374,Occupied,20/08/2016 14:22:14,32019
28691376,Vacant,20/08/2016 14:22:21,32019
28688046,Vacant,20/08/2016 11:53:50,32020
28691341,Occupied,20/08/2016 14:19:37,32020
28691343,Vacant,20/08/2016 14:19:43,32020
28691375,Occupied,20/08/2016 14:22:16,32020
28691377,Vacant,20/08/2016 14:22:22,32020
28692212,Occupied,20/08/2016 15:01:22,32020
28692229,Vacant,20/08/2016 15:02:09,32020
28692988,Occupied,20/08/2016 15:30:35,32020
28693025,Vacant,20/08/2016 15:32:14,32020
